run,status,model,backbone,loss,loss_display,venue,year,family,loss_variant,epochs,best_val_miou,best_val_miou_epoch,best_val_miou_present,best_val_miou_present_epoch,final_val_miou,final_val_miou_present,final_train_loss,final_val_loss,min_val_loss,val_overfit_drop_from_best,test_loss,test_miou,test_miou_present,test_macro_f1,test_macro_f1_present,test_oa_fg,test_ce,test_dice,val_bestckpt_miou,val_bestckpt_miou_present,val_bestckpt_macro_f1_present,val_bestckpt_oa_fg,params_m,gmacs,gflops,latency_ms_1x3x512x512,peak_vram_gb,gflops_approx,venue_year
segformer_b2_baseline1_augv2_ce_dice,completed,SegFormer,MiT-B2,ce_dice,ce+dice,NeurIPS2021,2021.0,general,ce_dice,80.0,0.3231017291545868,32.0,0.3479557037353515,32.0,0.299933,0.323005,0.320303,1.66057,1.178153,0.0231719999999999,2.015827596470094,0.2301275879144668,0.3221786618232727,0.3281116485595703,0.4593563079833984,0.6484355330467224,1.5524878100283328,0.4633397857427406,0.3231017291545868,0.3479557037353515,0.4555784463882446,0.773229718208313,27.35739,60.967436288,121.934872576,8.278821408748627,0.5439352989196777,0.0,
segformer_b2_baseline3_augv2_focal_dice,completed,SegFormer,MiT-B2,focal_dice,focal+dice,NeurIPS2021,2021.0,general,focal_dice,80.0,0.3250477313995361,17.0,0.3500514030456543,17.0,0.308108,0.331809,0.244224,1.471622,0.918235,0.01694,1.5318424088942275,0.2380328476428985,0.3332459926605224,0.3399950563907623,0.4759930670261383,0.6384700536727905,1.058208516071924,0.4736338920671276,0.3250477313995361,0.3500514030456543,0.4639978408813476,0.7633156776428223,27.35739,60.967436288,121.934872576,8.278821408748627,0.5439352989196777,0.0,
segformer_b2_baseline2_augv2_weighted_ce_dice,completed,SegFormer,MiT-B2,weighted_ce_dice,weighted_ce+dice,NeurIPS2021,2021.0,general,weighted_ce_dice,80.0,0.3423117101192474,2.0,0.3423117101192474,60.0,0.310967,0.334888,0.341273,1.856134,1.189826,0.031349,1.2217599215823172,0.308445930480957,0.4009796977043152,0.4074571430683136,0.5296942591667175,0.7162759304046631,0.7985189798397355,0.4232409413657184,0.3423117101192474,0.3423117101192474,0.4523288309574127,0.7439476251602173,27.35739,60.967436288,121.934872576,8.278821408748627,0.5439352989196777,0.0,
geoseg_a2fpn_goldmdd_b8_e80_poly_ce_dice,completed,A2FPN,ResNet-18,ce_dice,ce+dice,IJRS2022,2022.0,remote_sensing,ce_dice,80.0,0.3085395428444393,18.0,0.3085395428444393,18.0,,,,,,,,0.3073109302378401,0.3687731162854081,0.4028049686984116,0.483365962438094,0.7335251677692041,,,0.3085395428444393,0.3085395428444393,0.406823351499826,0.6810590040453779,12.162039,13.568292492,27.136584984,2.1228954195976257,0.21499872207641602,0.0,
geoseg_a2fpn_goldmdd_b8_e80_poly_focal_dice,completed,A2FPN,ResNet-18,focal_dice,focal+dice,IJRS2022,2022.0,remote_sensing,focal_dice,80.0,0.3026948719910238,2.0,0.3026948719910238,2.0,,,,,,,,0.280211112592242,0.3362533351106904,0.3835362096145731,0.4602434515374877,0.6658915810274241,,,0.3026948719910238,0.3026948719910238,0.405018587040946,0.6693139661158231,12.162039,13.568292492,27.136584984,2.1228954195976257,0.21499872207641602,0.0,
geoseg_a2fpn_goldmdd_b8_e80_poly_weighted_ce_dice,completed,A2FPN,ResNet-18,weighted_ce_dice,weighted_ce+dice,IJRS2022,2022.0,remote_sensing,weighted_ce_dice,80.0,0.295901160662591,12.0,0.3186627884058672,12.0,,,,,,,,0.265738677976797,0.3720341491675159,0.3648079675315552,0.5107311545441772,0.7093525186394763,,,0.295901160662591,0.3186627884058672,0.4405091949311103,0.6435324621214943,12.162039,13.568292492,27.136584984,2.1228954195976257,0.21499872207641602,0.0,
geoseg_manet_goldmdd_b8_e80_poly_ce_dice,completed,MANet,ResNet-50,ce_dice,ce+dice,TGRS2022,2022.0,remote_sensing,ce_dice,80.0,0.3146926055372336,31.0,0.3146926055372336,31.0,,,,,,,,0.3092725001414556,0.3711270001697467,,0.4922079185502218,0.6861501367852165,,,0.3146926055372336,0.3146926055372336,0.4107808177518859,0.6762619019051739,35.862934,54.807887506,109.615775012,4.793971528609593,0.39400577545166016,,
mask2former_r50_baseline_semseg_default,completed,Mask2Former,ResNet-50,native_set_prediction,set_matching_ce+mask+dice,CVPR2022,2022.0,general,native_set_prediction,80.0,0.3033392474793715,40.0,0.3033392474793715,40.0,0.2605519896219592,0.2605519896219592,22.193509109318256,,,0.0427872578574123,,0.2984563452762946,0.2984563452762946,,0.428480708046744,0.6560937347462505,,,0.3033392474793715,0.3033392474793715,0.4127984229735386,0.7111320495532241,44.006415,66.64537072,133.29074144,17.46299664179484,0.421262264251709,1.0,
segnext_tiny_goldmdd,completed,SegNeXt,MSCAN-Tiny,ce_dice,ce+dice,NeurIPS2022,2022.0,general,ce_dice,80.0,0.2895,75.0,0.2895538461538461,75.0,,,,,,,,0.1916014066858392,0.2682419693601748,0.2774034871561656,0.3883648820186319,0.606549873681741,,,0.2895,0.2895538461538461,0.3804830646467608,0.7429,4.228462,6.322454528,12.644909056,9.261239940921463,0.1672639846801757,,
geoseg_unetformer_goldmdd_b8_e80_poly_ce_dice,completed,UNetFormer,ResNet-18,ce_dice,ce+dice+aux_ce,ISPRSJPRS2022,2022.0,remote_sensing,ce_dice,80.0,0.3387749883081695,5.0,0.3387749883081695,5.0,,,,,,,,0.3284410540859876,0.3941292649031852,0.4293357022445043,0.5152028426934051,0.7276289654562467,,,0.3387749883081695,0.3387749883081695,0.4375194930138374,0.7641078568872756,11.725918,11.775443456,23.550886912,3.3975238601366677,0.08757352828979492,0.0,
